"","PACFIN_SPECIES_CODE","NOMINAL_TO_ACTUAL_PACFIN_SPECIES_CODE","PACFIN_SPECIES_COMMON_NAME","Freq"
"314","URCK","URCK","UNSP. ROCKFISH",56934
"315","USCL","USCL","UNSP. SCALLOP",18
"316","USCU","USCU","UNSP. SEA CUCUMBERS",59876
"317","USHR","USHR","UNSP. NEAR-SHORE ROCKFISH",478
"318","USKT","USKT","UNSP. SKATE",120038
"319","USLF","USLF","UNSP. SHELF ROCKFISH",2340
"320","USLP","USLP","UNSP. SLOPE ROCKFISH",1377
"321","USMN","USMN","UNSP. SALMON",25403
"322","USRK","USRK","UNSP. SHARK",4447
"323","USRM","USRM","UNSP. OCEAN SHRIMP",486
"324","USTG","USTG","UNSP. STURGEON",37
"325","USTR","USTR","UNSP. OYSTER",3
"326","UTCR","UTCR","UNSP. TANNER CRAB",351
"327","UTNA","UTNA","UNSP. TUNA",253
"328","UTRB","UTRB","UNSP. TURBOTS",3056
"329","VCLM","VCLM","VARNISH CLAM",773
"330","VRM1","VRML","NOM. VERMILLION ROCKFISH",19487
"331","VRML","VRML","VERMILION ROCKFISH",96096
"332","WABL","WABL","WHITE ABALONE",10
"333","WBAS","WBAS","WHITE SEABASS",35573
"334","WCRK","WCRK","WHITE CROAKER",25119
"335","WDOW","WDOW","WIDOW ROCKFISH",199843
"336","WDW1","WDOW","NOM. WIDOW ROCKFISH",31058
"337","WEEL","WEEL","WOLF EEL",3305
"338","WHOO","WHOO","WAHOO",1362
"339","WSTG","WSTG","WHITE STURGEON",50253
"340","WTSP","WTSP","WHITESPOTTED ROCKFISH",3
"341","YEY1","YEYE","NOM. YELLOWEYE ROCKFISH",2187
"342","YEYE","YEYE","YELLOWEYE ROCKFISH",101945
"343","YLTL","YLTL","YELLOWTAIL",11024
"344","YMTH","YMTH","YELLOWMOUTH ROCKFISH",72388
"345","YTNA","YTNA","YELLOWFIN TUNA",4069
"346","YTR1","YTRK","NOM. YELLOWTAIL ROCKFISH",59213
"347","YTRK","YTRK","YELLOWTAIL ROCKFISH",207108
